features.init_block.conv.conv,features.stage1.unit1.body.conv1.conv,features.stage1.unit1.body.conv2.conv,features.stage1.unit1.body.conv3.conv,features.stage1.unit1.identity_conv.conv,features.stage1.unit2.body.conv1.conv,features.stage1.unit2.body.conv2.conv,features.stage1.unit2.body.conv3.conv,features.stage1.unit3.body.conv1.conv,features.stage1.unit3.body.conv2.conv,features.stage1.unit3.body.conv3.conv,features.stage2.unit1.body.conv1.conv,features.stage2.unit1.body.conv2.conv,features.stage2.unit1.body.conv3.conv,features.stage2.unit1.identity_conv.conv,features.stage2.unit2.body.conv1.conv,features.stage2.unit2.body.conv2.conv,features.stage2.unit2.body.conv3.conv,features.stage2.unit3.body.conv1.conv,features.stage2.unit3.body.conv2.conv,features.stage2.unit3.body.conv3.conv,features.stage2.unit4.body.conv1.conv,features.stage2.unit4.body.conv2.conv,features.stage2.unit4.body.conv3.conv,features.stage3.unit1.body.conv1.conv,features.stage3.unit1.body.conv2.conv,features.stage3.unit1.body.conv3.conv,features.stage3.unit1.identity_conv.conv,features.stage3.unit2.body.conv1.conv,features.stage3.unit2.body.conv2.conv,features.stage3.unit2.body.conv3.conv,features.stage3.unit3.body.conv1.conv,features.stage3.unit3.body.conv2.conv,features.stage3.unit3.body.conv3.conv,features.stage3.unit4.body.conv1.conv,features.stage3.unit4.body.conv2.conv,features.stage3.unit4.body.conv3.conv,features.stage3.unit5.body.conv1.conv,features.stage3.unit5.body.conv2.conv,features.stage3.unit5.body.conv3.conv,features.stage3.unit6.body.conv1.conv,features.stage3.unit6.body.conv2.conv,features.stage3.unit6.body.conv3.conv,features.stage4.unit1.body.conv1.conv,features.stage4.unit1.body.conv2.conv,features.stage4.unit1.body.conv3.conv,features.stage4.unit1.identity_conv.conv,features.stage4.unit2.body.conv1.conv,features.stage4.unit2.body.conv2.conv,features.stage4.unit2.body.conv3.conv,features.stage4.unit3.body.conv1.conv,features.stage4.unit3.body.conv2.conv,features.stage4.unit3.body.conv3.conv,output
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.1537273666616956,2.1558821712510845,2.1636573339632967,2.1627920440992217,2.1528660479902495,2.1688563478859897,2.1671219566566733,2.1649559178998983,2.1671219566566733,2.170158052166954,2.1671219566566733,2.1653889523854835,2.160630333090769,2.162359528943359,2.159766253784915,2.1658220734866265,2.1705921271834425,2.1688563478859897,2.1653889523854835,2.1649559178998983,2.161062502372875,2.162359528943359,2.1692901625355856,2.1649559178998983,2.1727638049685454,2.1671219566566733,2.16452297001255,2.167988978832211,2.1653889523854835,2.1671219566566733,2.167988978832211,2.1662552812206535,2.1666885756048915,2.1671219566566733,2.1662552812206535,2.1671219566566733,2.162359528943359,2.1662552812206535,2.1666885756048915,2.1671219566566733,2.1658220734866265,2.1666885756048915,2.160630333090769,2.1658220734866265,2.161062502372875,2.167555424393334,2.158039131722825,2.1489943746552203,2.1589025200416665,2.1485646187573115,2.1528660479902495,2.1636573339632967,2.167555424393334,2.1640901087061213
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.118694294246657,2.134003941758656,2.1374210810479117,2.1378486080153927,2.134003941758656,2.1412719036944576,2.1387039185092935,2.1374210810479117,2.1395595711958255,2.1374210810479117,2.1374210810479117,2.142557052342714,2.135284728321256,2.1412719036944576,2.134003941758656,2.1404155662118938,2.1374210810479117,2.1374210810479117,2.14170020090349,2.1404155662118938,2.1382762204968184,2.140843692136302,2.1399875259041092,2.1387039185092935,2.1451296640638446,2.1378486080153927,2.14170020090349,2.1399875259041092,2.140843692136302,2.1395595711958255,2.140843692136302,2.1399875259041092,2.1374210810479117,2.1399875259041092,2.140843692136302,2.1412719036944576,2.14170020090349,2.1391317020699256,2.14170020090349,2.14212858378053,2.1374210810479117,2.140843692136302,2.1412719036944576,2.1369936395772737,2.1382762204968184,2.134430785229932,2.1301661896765576,2.1369936395772737,2.1447006810307654,2.1263353393347764,2.1242100668088106,2.1284627381962586,2.136566283586382,2.089239240600366
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.149854144347557,2.158039131722825,2.1632246457667663,2.1666885756048915,2.1507142580165617,2.1640901087061213,2.156744696613157,2.15717608869025,2.1589025200416665,2.1593343437266035,2.161494758097481,2.1649559178998983,2.1627920440992217,2.161494758097481,2.1558821712510845,2.1558821712510845,2.160630333090769,2.160630333090769,2.1632246457667663,2.1619271002818783,2.160198250233877,2.1649559178998983,2.160630333090769,2.160198250233877,2.1520050737773753,2.1584707827128295,2.161062502372875,2.159766253784915,2.1558821712510845,2.1619271002818783,2.1589025200416665,2.1589025200416665,2.1636573339632967,2.159766253784915,2.162359528943359,2.15717608869025,2.1640901087061213,2.160198250233877,2.160630333090769,2.1627920440992217,2.1584707827128295,2.161494758097481,2.162359528943359,2.162359528943359,2.1593343437266035,2.1589025200416665,2.16452297001255,2.1550199908301644,2.160630333090769,2.1520050737773753,2.150284158176376,2.1632246457667663,2.1584707827128295,2.1178469860019047
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.146846454419676,2.160198250233877,2.1653889523854835,2.1688563478859897,2.161494758097481,2.1688563478859897,2.1697240639567883,2.1662552812206535,2.1640901087061213,2.1697240639567883,2.1736330843348153,2.16452297001255,2.1692901625355856,2.1688563478859897,2.1666885756048915,2.1697240639567883,2.168422619990648,2.1653889523854835,2.173198401187712,2.167988978832211,2.168422619990648,2.167988978832211,2.170158052166954,2.1736330843348153,2.158039131722825,2.167555424393334,2.1671219566566733,2.1666885756048915,2.1658220734866265,2.167555424393334,2.1692901625355856,2.171026289023616,2.1697240639567883,2.1697240639567883,2.1697240639567883,2.1666885756048915,2.1653889523854835,2.1671219566566733,2.1705921271834425,2.170158052166954,2.1653889523854835,2.167988978832211,2.167555424393334,2.1649559178998983,2.1653889523854835,2.167988978832211,2.1662552812206535,2.162359528943359,2.161062502372875,2.161062502372875,2.158039131722825,2.067210264487659,2.16452297001255,2.134003941758656
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.14212858378053,2.1455587329021113,2.1515747157998524,2.1550199908301644,2.142557052342714,2.1481349488019874,2.1520050737773753,2.145987887562727,2.1489943746552203,2.150284158176376,2.1472758666503515,2.1485646187573115,2.147705364772062,2.153296664260039,2.146417128062859,2.1507142580165617,2.149854144347557,2.1494242165129043,2.1485646187573115,2.149854144347557,2.1455587329021113,2.1537273666616956,2.1494242165129043,2.1472758666503515,2.1404155662118938,2.1489943746552203,2.1472758666503515,2.1472758666503515,2.149854144347557,2.150284158176376,2.147705364772062,2.1494242165129043,2.1507142580165617,2.1515747157998524,2.150284158176376,2.143842972311533,2.1520050737773753,2.1489943746552203,2.1451296640638446,2.147705364772062,2.150284158176376,2.1541581552124467,2.1489943746552203,2.149854144347557,2.153296664260039,2.1060201888197514,2.1472758666503515,2.153296664260039,2.149854144347557,2.1412719036944576,2.1447006810307654,2.065970310352406,2.155451037931604,2.108548929987587
